"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"外呼管理","活动管理","创建批次并启动","0","0","1","0","0"
"外呼管理","活动管理","通话管理-通话详情","0","0","1","0","0"
