"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 11:30:34 CST 2021","Wed Aug 25 11:31:14 CST 2021","39816","Testcase.test_callmange","test_hd","TestCallRobot","","","外呼数据可查询","用例描述：创建批次外呼"
"passed","Wed Aug 25 11:31:21 CST 2021","Wed Aug 25 11:31:28 CST 2021","7002","Testcase.test_callmange","test_hd","TestCallRobot","","","通话详情正常","用例描述：查看通话详情"
